MultiPolygon (((743158 1043211.75, 743157.29 1043219.95, 743182.16 1043219.68, 743183.2 1043208.75, 743176.49 1043209.48, 743167.65 1043210.77, 743158 1043211.75)))
MultiPolygon (((743148 1043211.49, 743147.9 1043224.24, 743151.28 1043224.36, 743151.06 1043227.75, 743147.92 1043227.89, 743147.97 1043230.89, 743148.53 1043231.53, 743159.46 1043234.23, 743178.52 1043236.91, 743182.16 1043219.68, 743157.29 1043219.95, 743158 1043211.75, 743148 1043211.49),(743163.17 1043228.81, 743162.93 1043229.88, 743157.12 1043228.58, 743157.4 1043227.31, 743163.17 1043228.81)))
MultiPolygon (((743127.35 1043207.48, 743124.52 1043223.34, 743138.11 1043226.01, 743138.89 1043225.67, 743139.14 1043222.91, 743142.65 1043223.29, 743144.81 1043223.48, 743145.49 1043223.51, 743145.93 1043227.05, 743145.38 1043230.5, 743139.52 1043230.39, 743138.61 1043230.4, 743136.73 1043248.23, 743136.64 1043248.86, 743143.3 1043248.76, 743143.29 1043248.56, 743175.44 1043247.88, 743176.35 1043247.59, 743177.75 1043247.62, 743179.8 1043237.25, 743178.52 1043236.91, 743159.46 1043234.23, 743159.29 1043238.81, 743145.27 1043238.66, 743145.61 1043230.98, 743147.97 1043230.89, 743147.92 1043227.89, 743147.9 1043224.24, 743148 1043211.49, 743134.65 1043210.16, 743132.26 1043209.61, 743127.35 1043207.48)))
MultiPolygon (((743119.83 1043222.22, 743124.52 1043223.34, 743127.35 1043207.48, 743127.63 1043206.82, 743122.97 1043205.52, 743123.3 1043204.52, 743122.86 1043204.16, 743122.93 1043203.87, 743117.54 1043202.63, 743117.62 1043202, 743113.82 1043201.34, 743113.61 1043201.74, 743112.63 1043210.92, 743115.42 1043211.58, 743115.34 1043212.69, 743118.09 1043213.12, 743121.71 1043213.94, 743120.2 1043220.65, 743120.04 1043221.17, 743119.83 1043222.22)))
MultiPolygon (((743094.45 1043209.18, 743093.99 1043218.25, 743096.08 1043218.48, 743096.28 1043215.35, 743103.27 1043215.81, 743102.59 1043219.14, 743107.56 1043219.29, 743108.06 1043216.65, 743107.56 1043216.2, 743107.77 1043215.08, 743111.14 1043215.84, 743112.63 1043210.92, 743113.61 1043201.74, 743107.91 1043200.74, 743100.05 1043200.22, 743094.58 1043199.26, 743094.69 1043209.08, 743094.45 1043209.18)))
MultiPolygon (((743056.33 1043194.77, 743055.05 1043206.59, 743055.56 1043215.23, 743056.54 1043220.19, 743060.52 1043236.61, 743070.17 1043234.16, 743069.94 1043233.25, 743066.57 1043220.22, 743092.22 1043223.87, 743093.25 1043218.22, 743093.99 1043218.25, 743094.45 1043209.18, 743094.69 1043209.08, 743094.58 1043199.26, 743056.33 1043194.77),(743082.73 1043205.17, 743081.8 1043215.12, 743077.51 1043214.36, 743075.29 1043214.03, 743070.72 1043213.39, 743071.62 1043204.97, 743073.19 1043204.48, 743082.73 1043205.17)))
MultiPolygon (((743105.15 1043244.73, 743116.6 1043246.6, 743116.72 1043245.99, 743119.83 1043222.22, 743120.04 1043221.17, 743110.27 1043219.29, 743107.56 1043219.29, 743102.59 1043219.14, 743096.08 1043218.48, 743093.99 1043218.25, 743093.25 1043218.22, 743092.22 1043223.87, 743091.61 1043227.37, 743106.6 1043230.04, 743104.63 1043241.63, 743104.55 1043242.14, 743104.45 1043243.66, 743105.15 1043244.73)))
MultiPolygon (((743061.81 1043241.44, 743063.63 1043252.34, 743063.48 1043252.87, 743063.98 1043255.79, 743064.39 1043256.14, 743065.56 1043261.67, 743065.87 1043261.67, 743081.66 1043259.85, 743081.67 1043259.59, 743083.13 1043259.32, 743083.06 1043258.98, 743082.73 1043256.41, 743081.25 1043256.56, 743080.27 1043248.97, 743083.63 1043249.15, 743083.69 1043249.82, 743086.7 1043249.99, 743086.74 1043249.17, 743094.1 1043249.76, 743095.1 1043250.9, 743094.63 1043255.24, 743093.69 1043256.18, 743100.53 1043255.23, 743101.57 1043246.25, 743102.29 1043246.37, 743102.57 1043244.3, 743102.65 1043243.05, 743101.92 1043242.66, 743081.88 1043241.8, 743079.92 1043239.95, 743079.76 1043238.72, 743061.81 1043241.44)))
MultiPolygon (((743101.57 1043246.25, 743100.53 1043255.23, 743101.33 1043255.25, 743110.33 1043256.93, 743110.92 1043270.22, 743100.78 1043270.57, 743100.1 1043270.91, 743099.38 1043271.15, 743097.71 1043271.22, 743097.22 1043271.12, 743096.75 1043270.95, 743096.3 1043270.73, 743092.72 1043270.86, 743092.36 1043271.11, 743091.96 1043271.3, 743091.53 1043271.42, 743091.09 1043271.47, 743090.65 1043271.45, 743090.22 1043271.36, 743089.81 1043271.2, 743089.43 1043270.97, 743086.07 1043271.09, 743085.87 1043268.02, 743084.63 1043267, 743082.22 1043267.07, 743082.19 1043266.87, 743066.63 1043267.53, 743066.32 1043267.59, 743067.42 1043282.95, 743068.54 1043295.81, 743073.17 1043296.75, 743078.86 1043295.01, 743078.99 1043295.38, 743087.07 1043294.23, 743087.89 1043293.78, 743088.12 1043291.54, 743094.52 1043292.04, 743095.02 1043292.02, 743095.1 1043291.46, 743115.94 1043290.72, 743116.62 1043302.99, 743121.08 1043303.37, 743120.91 1043299.78, 743134.89 1043299.12, 743135.22 1043304.39, 743139.42 1043304.47, 743139.64 1043304.43, 743138.84 1043288.98, 743150.88 1043288.4, 743150.97 1043291.44, 743148.15 1043291.97, 743149.95 1043304.02, 743150.47 1043303.94, 743150.93 1043306.75, 743149.39 1043306.96, 743149.07 1043307.38, 743149.32 1043309.16, 743149.71 1043309.41, 743151.35 1043309.3, 743157.47 1043308.89, 743157.35 1043308.13, 743157.02 1043305.65, 743155.14 1043294.26, 743154.57 1043282.22, 743153.62 1043257.11, 743138.24 1043257.99, 743137.92 1043252.3, 743121.79 1043253.07, 743121.87 1043249.68, 743102.29 1043246.37, 743101.57 1043246.25),(743146.38 1043277.79, 743142.9 1043277.95, 743142.75 1043275.19, 743141.17 1043273.76, 743128.12 1043274.4, 743126.68 1043276.08, 743126.85 1043278.68, 743123.21 1043278.85, 743122.56 1043263.67, 743136.44 1043262.96, 743136.61 1043265.94, 743138.17 1043267.33, 743140.77 1043267.18, 743142.21 1043265.57, 743142.01 1043262.67, 743145.59 1043262.45, 743146.38 1043277.79)))
MultiPolygon (((743153.62 1043257.11, 743154.57 1043282.22, 743174.53 1043280.28, 743174.45 1043280.13, 743183.74 1043279.08, 743179.8 1043252.24, 743176.08 1043252.04, 743171.25 1043251.77, 743153.62 1043257.11),(743171.32 1043275.75, 743160.83 1043276.65, 743160.13 1043266.64, 743169.77 1043264.64, 743171.32 1043275.75)))
