WKT,
"MULTIPOLYGON (((744694.72 1040883.16,744692.03 1040887.16,744692.028 1040887.164,744690.865 1040889.096,744695.8 1040892.22,744697.24 1040890.62,744699.83 1040887.69,744694.72 1040883.16)))"
"MULTIPOLYGON (((744757.29 1040874.81,744755.72 1040873.31,744755.716 1040873.307,744752.32 1040870.28,744748.22 1040876.46,744749.65 1040877.83,744750.98 1040878.97,744752.4 1040880.25,744757.272 1040874.83,744757.29 1040874.81)))"
"MULTIPOLYGON (((745068.93 1040947.45,745066.3 1040943.03,745064.99 1040943.99,745059.926 1040935.651,745059.67 1040935.83,745065.98 1040946.33,745067.36 1040948.31,745068.93 1040947.45)))"
"MULTIPOLYGON (((745080.42 1040936.28,745073.44 1040941.41,745065.968 1040931.425,745065.796 1040931.546,745069.09 1040935.89,745067.83 1040936.75,745074.03 1040945.18,745082.24 1040939.27,745080.42 1040936.28)))"
"MULTIPOLYGON (((745100.66 1040967.92,745099.717 1040952.481,745099.698 1040952.18,745099.68 1040951.881,745099.65 1040951.39,745092.99 1040951.79,745091.31 1040951.97,745090.95 1040968.09,745089.75 1040968.15,745089.34 1040968.17,745089.68 1040972.97,745090.09 1040972.97,745091.28 1040972.85,745093.47 1040988.96,745101.92 1040988.48,745101.78 1040986.14,745100.75 1040969.3,745100.66 1040967.92)))"
"MULTIPOLYGON (((744598.42 1041399.74,744592.41 1041406.41,744593.21 1041407.13,744595.25 1041404.92,744596.01 1041405.5,744599.9 1041401.07,744598.42 1041399.74)))"
"MULTIPOLYGON (((745301.746 1040911.304,745303.02 1040911.34,745306.578 1040911.875,745307.467 1040905.67,745302.068 1040904.898,745301.189 1040911.04,745301.746 1040911.304)))"
"MULTIPOLYGON (((745326.583 1040907.587,745325.902 1040911.732,745330.579 1040912.501,745331.26 1040908.356,745326.583 1040907.587)))"
"MULTIPOLYGON (((745274.931 1040854.159,745277.433 1040851.821,745274.954 1040849.168,745272.452 1040851.506,745274.931 1040854.159)))"
"MULTIPOLYGON (((745327.24 1040759.36,745327.077 1040759.429,745327.11 1040759.5,745327.268 1040759.424,745327.24 1040759.36)))"
"MULTIPOLYGON (((744617.277 1041352.727,744617.579 1041359.098,744628.832 1041358.564,744628.53 1041352.193,744617.277 1041352.727)))"
"MULTIPOLYGON (((744826.8 1040774.14,744778.34 1040730.98,744766.71 1040744.09,744762.78 1040748.5,744750.77 1040761.89,744746.79 1040766.37,744735.2 1040779.44,744753.26 1040795.51,744759.84 1040801.37,744781.04 1040777.34,744782.47 1040778.59,744782.047 1040779.343,744782.003 1040780.207,744782.347 1040780.999,744783.008 1040781.556,744783.847 1040781.761,744784.691 1040781.571,744785.31 1040781.09,744804.97 1040798.74,744811.28 1040791.67,744813.6 1040789.05,744816.66 1040785.52,744818.64 1040783.29,744826.8 1040774.14)))"
